"Midascontactid","Createdat","Emailpermissionstatus","Cont.Acq.Src","Email.Src.First","Segment","Segmentsecondary","Email.Acq.Dt","Email.Pref.Ch.Dt","Entry.Point.List","Cont.Acq.Src2","Cont.Acq.Dte","Prod.Buy.Last","Prod.Buy.First","Prod.Buy.Accessories","Prod.Buy.All.In.One.Desktop","Prod.Buy.Desktop","Prod.Buy.Idc","Prod.Buy.Idpd","Prod.Buy.Laptop","Prod.Buy.Servers","Prod.Buy.Software","Prod.Buy.Thnkc","Prod.Buy.Thnkp","Prod.Buy.Warranties","Prod.Buy.Workstation","Prod.Buy.Android.Tablet","Prod.Buy.Windows.Tablet","Prod.Buy.Convertible","Prod.Buy.Android.Os","Prod.Buy.Gaming","Prod.Buy.Windows.Os","Prod.Buy.Gaming.Related","Country","Eml.Sent.Num","Eml.Sent.First.Ts","Eml.Sent.Last.Ts","Eml.Open.Num","Eml.Open.First.Ts","Eml.Open.Last.Ts","Eml.Click.Num","Eml.Click.First.Ts","Eml.Click.Last.Ts","Eml.Bounce.Last.Ts","Eml.Unsub.Last.Ts","Eml.Spam.Last.Ts","Email.Domain","Em.Pref.Status","Em.Pref.Dte","Invalid.Email.Dte","Em.Spamclplt.Dte"
"1041160486","8/29/2019","I","HYBRIS15","HYBRIS15","CON","","8/28/2019","8/28/2019","|HYBRIS1506|","HYBRIS15","8/28/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","0","NA","NA","0","NA","NA","0","NA","NA","NA","NA","NA","hotmali.cn","I","8/28/2019","NA","NA"
"1042419500","10/3/2019","I","HYBRIS15","CROWDS19","CON","","10/3/2019","10/3/2019","|CROWDS1902|HYBRIS1506|","HYBRIS15","10/3/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","77","10/10/2019","2/20/2020","4","11/2/2019","12/13/2019","0","NA","NA","NA","NA","NA","yahoo.com","I","10/3/2019","NA","NA"
"1039147689","7/8/2019","I","OOBWIN15","OOBWIN15","CON","","7/7/2019","7/7/2019","|OOBWIN1506|","OOBWIN15","7/7/2019","7/7/2019","7/7/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","5","7/8/2019","12/24/2019","1","8/4/2019","8/4/2019","1","8/4/2019","8/4/2019","NA","NA","NA","hofec.com","I","7/7/2019","NA","NA"
"1046638309","2/21/2020","U","OOBWIN15","","CON","","NA","2/19/2020","|OOBWIN1506|","OOBWIN15","2/19/2020","2/19/2020","2/19/2020","NA","NA","NA","NA","2/19/2020","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","0","NA","NA","0","NA","NA","0","NA","NA","NA","NA","NA","levinelaw.com","U","2/19/2020","NA","NA"
"1044096447","12/6/2019","I","OOBWIN15","OOBWIN15","CON","","12/6/2019","12/6/2019","|OOBWIN1506|","OOBWIN15","12/6/2019","12/6/2019","12/6/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","7","12/6/2019","1/13/2020","0","NA","NA","0","NA","NA","NA","NA","NA","usa.com","I","12/6/2019","NA","NA"
"1038608404","6/3/2019","I","OOBWIN15","OOBWIN15","CON","","5/31/2019","5/31/2019","|OOBWIN1506|","OOBWIN15","5/31/2019","5/31/2019","5/31/2019","NA","NA","NA","NA","5/31/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","15","11/25/2019","12/2/2019","5","11/26/2019","11/29/2019","2","11/28/2019","11/28/2019","NA","NA","NA","yahoo.com","I","5/31/2019","NA","NA"
"1041174258","8/29/2019","U","OOBWIN15","","CON","","NA","8/28/2019","|OOBWIN1506|","OOBWIN15","8/28/2019","8/28/2019","8/28/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","8/28/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","CA","0","NA","NA","0","NA","NA","0","NA","NA","NA","NA","NA","gmail.com","U","8/28/2019","NA","NA"
"1045047744","12/26/2019","I","OOBWIN15","OOBWIN15","CON","","12/26/2019","12/26/2019","|OOBWIN1506|","OOBWIN15","12/26/2019","12/26/2019","12/26/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","2","12/26/2019","1/13/2020","0","NA","NA","0","NA","NA","NA","NA","NA","gmail.com","I","12/26/2019","NA","NA"
"1042912258","11/4/2019","U","OOBWIN15","","CON","","NA","10/21/2019","|HYBRIS1506|OOBWIN1506|","OOBWIN15","10/21/2019","10/21/2019","10/21/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","0","NA","NA","0","NA","NA","0","NA","NA","NA","NA","NA","relocation.com.ar","U","10/21/2019","NA","NA"
"1044795945","12/21/2019","U","OOBWIN15","","CON","","NA","12/20/2019","|OOBWIN1506|","OOBWIN15","12/20/2019","12/20/2019","12/20/2019","NA","NA","NA","NA","12/20/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CA","0","NA","NA","0","NA","NA","0","NA","NA","NA","NA","NA","forestgrove.ca","U","12/20/2019","NA","NA"
"1042309839","9/28/2019","I","OOBWIN15","OOBWIN15","CON","","9/28/2019","9/28/2019","|OOBWIN1506|","OOBWIN15","9/28/2019","9/28/2019","9/28/2019","NA","NA","NA","NA","9/28/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","37","9/28/2019","1/13/2020","0","NA","NA","0","NA","NA","NA","NA","NA","gmail.com","I","9/28/2019","NA","NA"
"1043889716","12/1/2019","U","OOBWIN15","","CON","","NA","11/30/2019","|OOBWIN1506|","OOBWIN15","11/30/2019","11/30/2019","11/30/2019","NA","NA","11/30/2019","NA","NA","NA","NA","NA","11/30/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","2","12/3/2019","12/24/2019","0","NA","NA","0","NA","NA","NA","NA","NA","outlook.com","U","11/30/2019","NA","NA"
"1045503897","1/9/2020","I","OOBWIN15","OOBWIN15","CON","","1/9/2020","1/9/2020","|OOBWIN1506|","OOBWIN15","1/9/2020","1/9/2020","1/9/2020","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","2","1/9/2020","1/13/2020","1","1/9/2020","1/9/2020","0","NA","NA","NA","NA","NA","gmail.com","I","1/9/2020","NA","NA"
"1046463361","2/12/2020","U","SAPCRMSH","","AFF","","NA","2/10/2020","|SAPCRMSHIP120501|","SAPCRMSH","2/10/2020","2/10/2020","2/8/2020","NA","2/10/2020","NA","2/10/2020","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","1","2/13/2020","2/17/2020","0","NA","NA","0","NA","NA","NA","NA","NA","gmail.com","U","2/10/2020","NA","NA"
"1042265476","9/26/2019","I","OOBWIN15","OOBWIN15","CON","","9/26/2019","9/26/2019","|OOBWIN1506|","OOBWIN15","9/26/2019","9/26/2019","9/26/2019","NA","NA","NA","NA","9/26/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","37","9/26/2019","1/13/2020","1","10/21/2019","10/21/2019","0","NA","NA","NA","NA","NA","gmail.com","I","9/26/2019","NA","NA"
"1041743175","9/11/2019","I","OOBWIN15","OOBWIN15","CON","","9/10/2019","9/10/2019","|OOBWIN1506|","OOBWIN15","9/10/2019","9/10/2019","9/10/2019","NA","NA","NA","NA","9/10/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","4","9/11/2019","12/24/2019","0","NA","NA","0","NA","NA","NA","NA","NA","outlook.com","I","9/10/2019","NA","NA"
"1041130023","8/28/2019","I","HYBRIS15","HYBRIS15","CON","","8/27/2019","8/27/2019","|HYBRIS1506|","HYBRIS15","8/27/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","0","NA","NA","0","NA","NA","0","NA","NA","NA","NA","NA","133mail.cn","I","8/27/2019","NA","NA"
"1042132041","9/24/2019","I","OOBWIN15","OOBWIN15","CON","","9/24/2019","9/24/2019","|OOBWIN1506|","OOBWIN15","9/24/2019","9/24/2019","9/24/2019","NA","NA","NA","NA","9/24/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","37","9/24/2019","1/13/2020","1","9/26/2019","9/26/2019","0","NA","NA","NA","NA","NA","att.net","I","9/24/2019","NA","NA"
"1038809500","6/15/2019","U","OOBWIN15","","CON","","NA","6/14/2019","|OOBWIN1506|","OOBWIN15","6/14/2019","6/14/2019","6/14/2019","NA","NA","6/14/2019","6/14/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","4","6/15/2019","12/24/2019","2","7/23/2019","9/17/2019","0","NA","NA","NA","NA","NA","hotmail.com","U","6/14/2019","NA","NA"
"1039182641","7/23/2019","I","OOBWIN15","OOBWIN15","CON","","7/9/2019","7/9/2019","|OOBWIN1506|","OOBWIN15","7/9/2019","7/9/2019","7/9/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","4","7/23/2019","12/24/2019","0","NA","NA","0","NA","NA","NA","NA","NA","hotmail.com","I","7/9/2019","NA","NA"
"1039908025","8/16/2019","I","ADBEMA19","ADBEMA19","CON","","8/15/2019","8/15/2019","|ADBEMA1906|","ADBEMA19","8/15/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","0","NA","NA","0","NA","NA","0","NA","NA","NA","NA","NA","gmail.com","I","8/15/2019","NA","NA"
"1043951626","12/3/2019","I","COMAPS16","HYBRIS15","CON","","12/2/2019","12/6/2019","|COMAPS1603|HYBORD1502|HYBRIS1506|SAPCRMSHIP120501|","COMAPS16","12/2/2019","12/3/2019","12/2/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","12/3/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","2","12/7/2019","12/31/2019","1","12/9/2019","12/31/2019","0","NA","NA","NA","NA","NA","gmail.com","I","12/6/2019","NA","NA"
"200411380","9/5/2019","U","OOBWIN15","","CON","","NA","9/1/2019","|OOBWIN1506|","OOBWIN15","9/1/2019","9/1/2019","9/1/2019","NA","NA","NA","NA","9/1/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","1","9/5/2019","9/11/2019","1","9/5/2019","9/11/2019","1","9/11/2019","9/11/2019","NA","NA","NA","hotmail.com","U","9/1/2019","NA","NA"
